50
#
0 0.08 0 0
1 0.0793692 0.0100266 0
2 0.0774866 0.0198952 0
3 0.0743821 0.02945 0
4 0.0701046 0.0385403 0
5 0.0647214 0.0470228 0
6 0.0583175 0.0547638 0
7 0.0509939 0.061641 0
8 0.0428662 0.0675462 0
9 0.0340623 0.0723862 0
10 0.0247214 0.0760846 0
11 0.0149905 0.078583 0
12 0.00502324 0.0798422 0
13 -0.00502324 0.0798422 0
14 -0.0149905 0.078583 0
15 -0.0247214 0.0760846 0
16 -0.0340623 0.0723862 0
17 -0.0428662 0.0675462 0
18 -0.0509939 0.061641 0
19 -0.0583175 0.0547638 0
20 -0.0647214 0.0470228 0
21 -0.0701046 0.0385403 0
22 -0.0743821 0.02945 0
23 -0.0774866 0.0198952 0
24 -0.0793692 0.0100266 0
25 -0.08 -2.573e-17 0
26 -0.0793692 -0.0100266 0
27 -0.0774866 -0.0198952 0
28 -0.0743821 -0.02945 0
29 -0.0701046 -0.0385403 0
30 -0.0647214 -0.0470228 0
31 -0.0583175 -0.0547638 0
32 -0.0509939 -0.061641 0
33 -0.0428662 -0.0675462 0
34 -0.0340623 -0.0723862 0
35 -0.0247214 -0.0760846 0
36 -0.0149905 -0.078583 0
37 -0.00502324 -0.0798422 0
38 0.00502324 -0.0798422 0
39 0.0149905 -0.078583 0
40 0.0247214 -0.0760846 0
41 0.0340623 -0.0723862 0
42 0.0428662 -0.0675462 0
43 0.0509939 -0.061641 0
44 0.0583175 -0.0547638 0
45 0.0647214 -0.0470228 0
46 0.0701046 -0.0385403 0
47 0.0743821 -0.02945 0
48 0.0774866 -0.0198952 0
49 0.0793692 -0.0100266 0
